what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321571447882
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1321571450457
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321571450567
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321571470298
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321571472155
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321571472218
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321571489113
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321571494370
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321571547581
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321571548595
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1321571551268
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321571551299
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321571572826
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321571574184
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321571588302
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321571589347
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1321571591431
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321571591525
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321571602057
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321571603899
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321571615583
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321571619140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1321571627236
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321571635379
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321571636331
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1321571638508
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321571638571
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321571694306
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321571696710
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321571696757
