what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1321544515478
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1321544515482
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1321544515490
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1321544515490
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1321544515495
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1321544515502
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1321544515509
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1321544515513
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1321544515528
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1321544515607
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1321544515632
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1321544515657
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1321544515675
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1321544515675
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1321544515680
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1321544515690
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1321544515764
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1321544515769
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1321544515775
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1321544515780
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1321544515800
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1321544515889
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1321544515898
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1321544515905
os,sysinfo,,,"win32",1321544515927
arch,sysinfo,,,"x86",1321544515927
ws,sysinfo,,,"win32",1321544515927
locale,sysinfo,,,"en_US",1321544515927
processors,sysinfo,,,"2",1321544515927
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1321544515927
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1321544515927
java.specification.name,sysinfo,,,"Java Platform API Specification",1321544515927
java.specification.vendor,sysinfo,,,"Oracle Corporation",1321544515927
java.specification.version,sysinfo,,,"1.7",1321544515927
java.vendor,sysinfo,,,"Oracle Corporation",1321544515927
java.version,sysinfo,,,"1.7.0_01",1321544515927
java.vm.info,sysinfo,,,"mixed mode, sharing",1321544515927
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1321544515927
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1321544515927
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1321544515927
java.vm.specification.version,sysinfo,,,"1.7",1321544515927
java.vm.vendor,sysinfo,,,"Oracle Corporation",1321544515927
java.vm.version,sysinfo,,,"21.1-b02",1321544515927
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1321544516086
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1321544516549
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1321544517933
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1321544517939
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1321544518303
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1321544518350
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1321544518519
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321549935153
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321549942716
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1321549944794
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1321549946374
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1321549946617
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1321549948605
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1321549952357
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1321549952568
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321549953536
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321550008832
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321550008926
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1321550012155
