what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321675271213
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321675463924
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321675768662
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321677297833
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321677308203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321677386652
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321677409365
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321677782543
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321677791626
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1321677803442
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1321677831637
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321677831759
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321677874244
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321677875433
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1321677945094
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321677947922
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321677951306
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321677952431
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1321677953975
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1321677954434
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1321677958921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321677958967
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321677971231
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.eof",1321677972559
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.eof",1321677973128
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321677974332
