what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1321680973280
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321680974782
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321680979636
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1321680995325
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321680999507
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321681002459
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321681003307
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1321681005297
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321681015868
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1321681022545
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321681025568
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321681027345
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321681028451
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1321681030381
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321681041543
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1321681043988
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321681046743
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321681048403
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321681049225
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1321681051277
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321681051289
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321681053327
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321681055744
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321681060919
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321681088878
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321681091118
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1321681112418
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1321681113009
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321681115715
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321681187994
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321681201643
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321681202259
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321681211199
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1321681217869
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321681219197
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321681221692
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321681222782
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321681223397
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321681225933
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1321681228719
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1321681238998
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321681240602
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321681243296
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321681265351
