what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1321464793629
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1321464793926
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1321464794082
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1321464794207
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1321464826514
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1321464859524
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321464887542
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321464891426
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1321464920551
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1321464920738
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321464975963
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321464993575
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321464997849
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321464999285
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321465001922
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321465003504
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1321465003573
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321465007166
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321465009898
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321465012442
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321465013720
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321465018149
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321465019948
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321465032805
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321465036547
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321465039061
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321465040381
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321465060783
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321465063099
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321465066361
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1321465066676
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321465069433
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321465071900
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321465238132
