what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321760135665
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321760137557
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321760191156
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321760194062
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321760227687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321760230573
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321760237167
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321760240089
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321760276763
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321760277352
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1321760376108
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321760422497
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321760432025
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321760433370
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321760460540
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321760461474
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321760463184
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321760464149
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321760476881
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321760479829
